name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
A-Bomb,Male,yellow,Human,No Hair,203,Marvel Comics,-,good,441
Abe Sapien,Male,blue,Icthyo Sapien,No Hair,191,Dark Horse Comics,blue,good,65
Abin Sur,Male,blue,Ungaran,No Hair,185,DC Comics,red,good,90
Abomination,Male,green,Human / Radiation,No Hair,203,Marvel Comics,-,bad,441
Abraxas,Male,blue,Cosmic Entity,Black,-99,Marvel Comics,-,bad,-99
Absorbing Man,Male,blue,Human,No Hair,193,Marvel Comics,-,bad,122
Adam Monroe,Male,blue,-,Blond,-99,NBC - Heroes,-,good,-99
Adam Strange,Male,blue,Human,Blond,185,DC Comics,-,good,88
Agent 13,Female,blue,-,Blond,173,Marvel Comics,-,good,61
Agent Bob,Male,brown,Human,Brown,178,Marvel Comics,-,good,81
Agent Zero,Male,-,-,-,191,Marvel Comics,-,good,104
Air-Walker,Male,blue,-,White,188,Marvel Comics,-,bad,108
Ajax,Male,brown,Cyborg,Black,193,Marvel Comics,-,bad,90
Alan Scott,Male,blue,-,Blond,180,DC Comics,-,good,90
Alex Mercer,Male,-,Human,-,-99,Wildstorm,-,bad,-99
Alex Woolsly,Male,-,-,-,-99,NBC - Heroes,-,good,-99
Alfred Pennyworth,Male,blue,Human,Black,178,DC Comics,-,good,72
Alien,Male,-,Xenomorph XX121,No Hair,244,Dark Horse Comics,black,bad,169
Allan Quatermain,Male,-,-,-,-99,Wildstorm,-,good,-99
Amazo,Male,red,Android,-,257,DC Comics,-,bad,173
Ammo,Male,brown,Human,Black,188,Marvel Comics,-,bad,101
Ando Masahashi,Male,-,-,-,-99,NBC - Heroes,-,good,-99
Angel,Male,blue,-,Blond,183,Marvel Comics,-,good,68
Angel,Male,-,Vampire,-,-99,Dark Horse Comics,-,good,-99
Angel Dust,Female,yellow,Mutant,Black,165,Marvel Comics,-,good,57
Angel Salvadore,Female,brown,-,Black,163,Marvel Comics,-,good,54
Angela,Female,-,-,-,-99,Image Comics,-,bad,-99
Animal Man,Male,blue,Human,Blond,183,DC Comics,-,good,83
Annihilus,Male,green,-,No Hair,180,Marvel Comics,-,bad,90
Ant-Man,Male,blue,Human,Blond,211,Marvel Comics,-,good,122
Ant-Man II,Male,blue,Human,Blond,183,Marvel Comics,-,good,86
Anti-Monitor,Male,yellow,God / Eternal,No Hair,61,DC Comics,-,bad,-99
Anti-Spawn,Male,-,-,-,-99,Image Comics,-,bad,-99
Anti-Venom,Male,blue,Symbiote,Blond,229,Marvel Comics,-,-,358
Apocalypse,Male,red,Mutant,Black,213,Marvel Comics,grey,bad,135
Aquababy,Male,blue,-,Blond,-99,DC Comics,-,good,-99
Aqualad,Male,blue,Atlantean,Black,178,DC Comics,-,good,106
Aquaman,Male,blue,Atlantean,Blond,185,DC Comics,-,good,146
Arachne,Female,blue,Human,Blond,175,Marvel Comics,-,good,63
Archangel,Male,blue,Mutant,Blond,183,Marvel Comics,blue,good,68
Arclight,Female,violet,-,Purple,173,Marvel Comics,-,bad,57
Ardina,Female,white,Alien,Orange,193,Marvel Comics,gold,good,98
Ares,Male,brown,-,Brown,185,Marvel Comics,-,good,270
Ariel,Female,purple,-,Pink,165,Marvel Comics,-,good,59
Armor,Female,black,-,Black,163,Marvel Comics,-,good,50
Arsenal,Male,-,Human,-,-99,DC Comics,-,good,-99
Astro Boy,Male,brown,-,Black,-99,,-,good,-99
Atlas,Male,brown,Mutant,Red,183,Marvel Comics,-,good,101
Atlas,Male,blue,God / Eternal,Brown,198,DC Comics,-,bad,126
Atom,Male,blue,-,Red,178,DC Comics,-,good,68
Atom,Male,-,-,-,-99,DC Comics,-,good,-99
