Browser,Visits
Chrome 89,14529
Edge 89,3458
Firefox 87,2310
Chrome 90,2269
Safari 14,1358
Chrome 88,879
Edge 90,745
Firefox 86,562
Chrome 75,408
Chrome 87,358
Firefox 88,245
Firefox 78,234
Edge 18,204
Chrome 86,198
Safari 13,187
Opera 75,116
Opera 74,95
Chrome 78,92
Firefox 85,87
Chrome 85,84
Firefox 74,79
Chrome 83,75
Edge 88,73
Firefox 84,71
Chrome 84,69
Chrome 80,59
Yandex Browser 21,59
Chrome 79,56
IE 11,48
Firefox 68,43
Safari 12,40
Chrome 81,33
Opera 73,31
Edge 85,28
Edge 17,27
Edge 84,25
Edge 86,24
Firefox 83,24
QQ Browser 10,24
Chrome 91,23
Edge 87,22
Sogou Explorer 1,21
Firefox 81,18
Chrome 76,17
Edge 91,17
Firefox 79,17
Chrome 73,15
Firefox 82,15
Chrome 74,14
Chrome 77,14
Chrome 69,13
Firefox 52,13
Firefox 72,12
Firefox 80,12
Firefox 60,10
Safari 11,10
Chrome 70,9
Chrome 71,9
Chrome 72,9
Edge 16,9
Edge 80,9
Firefox 70,8
Firefox 75,8
Chrome 61,7
Firefox 76,7
Firefox 77,7
Chrome 63,6
Firefox 44,6
Chrome 65,5
Chrome 67,5
Edge 81,5
Edge 83,5
Firefox 89,5
Yandex Browser 20,5
Edge 15,4
Firefox 56,4
Firefox 62,4
Firefox 66,4
Apple Mail 605,3
Firefox 65,3
Firefox 69,3
Firefox 71,3
Firefox 73,3
Maxthon 5,3
holmes 1,3
Chrome 62,2
Chrome 66,2
Chrome 68,2
Chromium 75,2
Edge 14,2
Edge 92,2
Epiphany 605,2
Firefox 61,2
Firefox 64,2
Pale Moon 29,2
Chrome 58,1
Chrome 64,1
Chrome 92,1
Chromium 68,1
Chromium 71,1
Chromium 72,1
Chromium 79,1
Edge 79,1
Epiphany 3,1
Firefox 48,1
Firefox 54,1
Firefox 63,1
Firefox 67,1
Firefox 90,1
Opera 71,1
Safari 10,1
Yandex Browser 18,1
